name,address,suburb,state,postcode,latitude,longitude,phone,opening_hours,venue_type,source
Southbank Library at Boyd,"207 City Rd, 3006",Southbank,VIC,3006,-37.82,144.97,9658 8300,,Library,Libraries_VIC
Springvale Library,5 Hillcrest Grove,Springvale,VIC,3171,-37.95,145.16,8571 5398,,Library,Libraries_VIC
St Albans Library,71A Alfrieda Street,St Albans,VIC,3021,-37.75,144.77,9249 4650,,Library,Libraries_VIC
St Arnaud Library,"Market Square, Rear 40 Napier St",St Arnaud,VIC,3478,-36.54,142.92,5495 2188,,Library,Libraries_VIC
St Kilda Library,150 Carlisle Street,St Kilda,VIC,3182,-37.87,144.98,9209 6655,,Library,Libraries_VIC
Stawell Library,7-9 Sloane Street,Stawell,VIC,3380,-37.16,142.7,5358 1274,,Library,Libraries_VIC
Stratford Library,70 Tyers Street,Stratford,VIC,3862,-37.57,147.19,5145 6403,,Library,Libraries_VIC
Sunbury Library,44 Macedon Street,Sunbury,VIC,3429,-37.58,144.73,9356 6970,,Library,Libraries_VIC
Sunshine Library,301 Hampshire Road,Sunshine,VIC,3020,-37.78,144.82,9249 4640,,Library,Libraries_VIC
Swan Hill Library,53 Campbell Street,Swan Hill,VIC,3585,-35.42,143.59,5036 2480,,Library,Libraries_VIC
Sydenham Library,"1 Station St, Taylors Lakes",Sydenham,VIC,3037,-37.72,144.78,9249 4680,,Library,Libraries_VIC
Tallangatta Library,35 Towong Street,Tallangatta,VIC,3700,-36.18,147.34,02 6071 2955,,Library,Libraries_VIC
Tatura Library,12-16 Casey Street,Tatura,VIC,3616,-36.42,145.07,1300 374 765,,Library,Libraries_VIC
Terang Library,135 High Street,Terang,VIC,3264,-38.24,142.91,5592 1397,,Library,Libraries_VIC
Thomastown Library,52 Main Street,Thomastown,VIC,3074,-37.68,145.01,9464 1864,,Library,Libraries_VIC
Timboon Library,Wark Street,Timboon,VIC,3268,-38.42,142.86,5598 3394,,Library,Libraries_VIC
Tongala Library,Mangan Street,Tongala,VIC,3621,-36.27,144.85,5481 2821,,Library,Libraries_VIC
Toora Mechanics’ Institute Library,23 Gray Street,Toora,VIC,3962,-38.67,146.4,5676 2360,,Library,Libraries_VIC
Toorak Library,340 Toorak Road,Toorak,VIC,3142,-37.84,145.0,8290 8000,,Library,Libraries_VIC
Torquay Library,"Surf City Plaza, Beach Road",Torquay,VIC,3228,-38.33,144.26,4201 0667,,Library,Libraries_VIC
Traralgon Library,34-38 Kay Street,Traralgon,VIC,3844,-38.41,146.64,5176 3300,,Library,Libraries_VIC
Trentham Library,13 Albert Street,Trentham,VIC,3458,-37.45,144.29,5424 1326,,Library,Libraries_VIC
Vermont South Library,Pavey Place,Vermont South,VIC,3133,-37.84,145.19,9872 8650,,Library,Libraries_VIC
Violet Town Library,Cowslip Street,Violet Town,VIC,3669,-36.7,145.77,1300 374 765,,Library,Libraries_VIC
Wallan Library,Wellington Square Shopping Centre,Wallan,VIC,3756,-37.4,144.8,5734 6454,,Library,Libraries_VIC
Wangaratta Library,21 Docker Street,Wangaratta,VIC,3676,-36.34,146.34,5721 2366,,Library,Libraries_VIC
Wantirna South Library,"Knox City Shopping Centre, Shop 1001/509,",Wantirna South,VIC,3152,-37.87,145.24,1300 737 277,,Library,Libraries_VIC
Warracknabeal Library,36 Lyle St,Warracknabeal,VIC,3393,-36.33,142.36,5398 0100,,Library,Libraries_VIC
Warragul Library,75 Victoria Street,Warragul,VIC,3820,-38.21,145.96,5622 2848,,Library,Libraries_VIC
Warrandyte Community Centre,168 Yarra Street,Warrandyte,VIC,3113,-37.73,145.22,9895 4250,,Library,Libraries_VIC
Warrnambool Library,8 Kepler Street,Warrnambool,VIC,3280,-38.36,142.44,5559 4990,,Library,Libraries_VIC
Watsonia Library,4-6 Ibbottson Street,Watsonia,VIC,3087,-37.71,145.08,9435 2397,,Library,Libraries_VIC
Welshpool Library,14 Main Street,Welshpool,VIC,3966,-38.58,146.45,5688 1051,,Library,Libraries_VIC
Wendouree Library,"Stockland Wendouree, Gillies Street",Wendouree,VIC,3355,-37.55,143.82,5339 3505,,Library,Libraries_VIC
West Footscray Library,539 Barkly Street,West Footscray,VIC,3012,-37.81,144.85,9688 0292,,Library,Libraries_VIC
Whittlesea Library,57-61 Laurel Street,Whittlesea,VIC,3757,-37.45,145.11,9716 3028,,Library,Libraries_VIC
Williams Landing Library Lounge,1/101 Overton Road,Williams Landing,VIC,3027,-37.86,144.76,8754 4978,,Library,Libraries_VIC
Williamstown Library,104 Ferguson Street,Williamstown,VIC,3016,-37.86,144.9,,,Library,Libraries_VIC
Hyphen Wodonga Library Gallery,126 Hovell St,Wodonga,VIC,3689,-37.68,144.99,02 6022 9330,,Library,Libraries_VIC
Wonthaggi Library,Murray Street,Wonthaggi,VIC,3995,-38.53,145.45,5672 1875,,Library,Libraries_VIC
Woodend Library,Cnr High & Forest Streets,Woodend,VIC,3442,-37.39,144.45,5427 2074,,Library,Libraries_VIC
Community Resource Centre,280 Broadway,Wycheproof,VIC,3527,-36.06,143.39,1300 520 520,,Library,Libraries_VIC
Wyndham Vale Library,86 Manor Lakes Blvd,Wyndham Vale,VIC,3024,-37.9,144.56,8734 8930,,Library,Libraries_VIC
Yackandandah Library,34 High Street,Yackandandah,VIC,3749,-36.41,146.86,02 6028 1180,,Library,Libraries_VIC
Yarra Junction Library,Hoddle Street,Yarra Junction,VIC,3797,-37.86,145.71,1300 737 277,,Library,Libraries_VIC
Yarram Library,156 Grant Street,Yarram,VIC,3971,-38.61,146.67,5182 5135,,Library,Libraries_VIC
Yarraville Library,32 Wembley Avenue,Yarraville,VIC,3013,-37.82,144.89,9688 0294,,Library,Libraries_VIC
Yarrawonga Library,26-39 Belmore Street,Yarrawonga,VIC,3730,-36.03,146.08,1300 374 765,,Library,Libraries_VIC
Yea Library,The Semi Circle,Yea,VIC,3717,-37.34,145.29,5772 0333,,Library,Libraries_VIC
Agnes Water QGAP,71 Springs Road,Agnes Water,QLD,4677,-24.212252,151.910144,13 QGOV (13 74 68),"Monday: 9:00 - 16:30
Tuesday: 9:00 - 16:30
Wednesday: 9:00 - 16:30
Thursday: 9:00 - 16:30
Friday: 9:00 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Aramac QGAP,58 Gordon Street,Aramac,QLD,4726,-22.970524,145.242898,4651 3359,"Monday: 9:00-13:00 - 13:30-16:00
Tuesday: 9:00-13:00 - 13:30-16:00
Wednesday: 9:00-13:00 - 13:30-16:00
Thursday: 9:00-13:00 - 13:30-16:00
Friday: 9:00-13:00 - 13:30-16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Augathella QGAP,"Augathella Visitors Centre, 98 Main Street",Augathella,QLD,4477,-25.795825,146.581712,4654 5007,"Monday: 9:30-12:30 - 13:30-15:30
Tuesday: 9:30-12:30 - 13:30-15:30
Wednesday: 9:30-12:30 - 13:30-15:30
Thursday: 9:30-12:30 - 13:30-15:30
Friday: 9:30-12:30 - 13:30-16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Ayr QGAP,"Ayr Magistrates Court, 163 Queen Street",Ayr,QLD,4807,-19.5758409,147.4050228,47842801,"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 8:30 - 16:30
Thursday: 9:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Babinda QGAP,10 Munro Street,Babinda,QLD,4861,-17.343982,145.924292,40615999,"Monday: 8:00 - 15:30
Tuesday: 8:00 - 15:30
Wednesday: NA
Thursday: 8:00 - 15:30
Friday: 8:00 - 15:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Barcaldine QGAP,"Barcaldine Magistrates Court, 65 Ash Street",Barcaldine,QLD,4725,-23.553474,145.290261,4651 2795,"Monday: 9:00 - 12:30 - 13:30 - 16:30
Tuesday: 9:00 - 12:30 - 13:30 - 16:30
Wednesday: 10:00 - 12:30 - 13:30 - 16:30
Thursday: 9:00 - 12:30 - 13:30 - 16:30
Friday: 9:00 - 12:30 - 13:30 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Beaudesert QGAP,"Tenancy 2, 1 Telemon Street",Beaudesert,QLD,4285,-27.988324,152.99542,13 QGOV (13 74 68),"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 9:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Bedourie QGAP,"Police Station, Merri Street",Bedourie,QLD,4829,-24.358787,139.469664,4744 1601,"Monday: NA
Tuesday: NA
Wednesday: 8:00 - 16:00
Thursday: 8:00 - 16:00
Friday: NA
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Biloela QGAP,Cnr Grevillea and Melton Streets,Biloela,QLD,4715,-24.400826,150.513251,4992 8700,"Monday: 8:30 - 12:30 - 13:30 - 16:30
Tuesday: 8:30 - 12:30 - 13:30 - 16:30
Wednesday: 9:30 - 12:30 - 13:30 - 16:30
Thursday: 8:30 - 12:30 - 13:30 - 16:30
Friday: 8:30 - 12:30 - 13:30 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Birdsville QGAP,"Police Station, 17 MacDonald Street",Birdsville,QLD,4482,-25.901947,139.349082,4744 1663,"Monday: NA
Tuesday: NA
Wednesday: NA
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Blackall QGAP,Shamrock Street,Blackall,QLD,4472,-24.421675,145.45902,4657 4233,"Monday: 9:00-13:00 - 14:00-16:30
Tuesday: 9:00-13:00 - 14:00-16:30
Wednesday: 9:00-13:00 - 14:00-16:30
Thursday: 9:00-13:00 - 14:00-16:30
Friday: 9:00-13:00 - 14:00-16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Blackbutt QGAP,69 Hart Street,Blackbutt,QLD,4314,-26.884029,152.101976,4163 0030,"Monday: 9:00-12:00 - 13:00-16:00
Tuesday: 9:00-12:00 - 13:00-16:00
Wednesday: 9:00-12:00 - 13:00-16:00
Thursday: 9:00-12:00 - 13:00-16:00
Friday: 9:00-12:00 - 13:00-16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Boonah QGAP,70 High Street,Boonah,QLD,4310,-27.996542,152.682354,13 QGOV (13 74 68),"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 8:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Boulia QGAP,"Boulia Police Station, 39 Herbert Street",Boulia,QLD,4829,-22.909859,139.906762,4744 1642,"Monday: NA
Tuesday: 8:00 - 15:30
Wednesday: 8:00 - 15:30
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Brisbane QGSC,"Upper Plaza (access via the corner of George & Charlotte Streets), 33 Charlotte Street",Brisbane,QLD,4000,-27.472,153.02591,13 QGOV (13 74 68),"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 9:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Cairns QGSC,"William McCormack Place Ground Floor, 5B Sheridan Street",Cairns,QLD,4870,-16.92641,145.77538,13 QGOV (13 74 68),"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 9:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Camooweal QGAP,Barkly Street,Camooweal,QLD,4828,-19.921387,138.1179982,4748 2025,"Monday: NA
Tuesday: NA
Wednesday: NA
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Cannonvale QGAP,"Shops 5 - 7, 11 Island Drive",Cannonvale,QLD,4802,-20.278079,148.700917,13 QGOV (13 74 68),"Monday: 9:00-12:00 - 13:00-16:30
Tuesday: 9:00-12:00 - 13:00-16:30
Wednesday: 9:30-12:00 - 13:00-16:30
Thursday: 9:00-12:00 - 13:00-16:30
Friday: 9:00-12:00 - 13:00-16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Childers QGAP,67 Churchill Street,Childers,QLD,4660,-25.23571,152.277821,4126 1455,"Monday: 8:30-13:00 - 14:00-16:00
Tuesday: 8:30-13:00 - 14:00-16:00
Wednesday: 9:30-13:00 - 14:00-16:00
Thursday: 8:30-13:00 - 14:00-16:00
Friday: 8:30-13:00 - 14:00-16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Chinchilla QGAP,"Chinchilla Magistrates Court, 90 Heeney Street",Chinchilla,QLD,4413,-26.740124,150.624897,07 4672 4650 or 13 23 80,"Monday: 8:30-13:00 - 14:00-16:00
Tuesday: 8:30-13:00 - 14:00-16:00
Wednesday: 9:30-13:00 - 14:00-16:00
Thursday: 8:30-13:00 - 14:00-16:00
Friday: 8:30-13:00 - 14:00-16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Clermont QGAP,44 Daintree Street,Clermont,QLD,4721,-22.824185,147.639695,13 QGOV (13 74 68),"Monday: 9:00-12:30 - 13:30-16:30
Tuesday: 9:00-12:30 - 13:30-16:30
Wednesday: 10:00-12:30 - 13:30-16:30
Thursday: 9:00-12:30 - 13:30-16:30
Friday: 9:00-12:30 - 13:30-16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Collinsville QGAP,62 Sonoma Street,Collinsville,QLD,4804,-20.548952,147.84234,4785 5567,"Monday: 9:00-12:30 - 14:00-16:30
Tuesday: 9:00-12:30 - 14:00-16:30
Wednesday: 9:00-12:30 - 14:00-16:30
Thursday: 9:00-12:30 - 14:00-16:30
Friday: 9:00-12:30 - 14:00-16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Cooktown QGAP,"Cooktown Magistrates Court, 172 Charlotte Street",Cooktown,QLD,4895,-15.461084,145.250666,4082 1000,"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 8:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Croydon QGAP,63 Samwell Street,Croydon,QLD,4871,-18.203578,142.244151,4748 7101,"Monday: 9:30 - 15:30
Tuesday: 9:30 - 15:30
Wednesday: NA
Thursday: 9:30 - 15:30
Friday: NA
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Crows Nest QGAP,"Heritage Bank Building, 16 Charlotte Street",Crows Nest,QLD,4355,-27.260552,152.056337,4513 1000,"Monday: 9:30 - 15:30
Tuesday: 9:30 - 15:30
Wednesday: 9:30 - 15:30
Thursday: 9:30 - 15:30
Friday: 9:30 - 15:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Cunnamulla QGAP,"Cunnamulla Magistrates Court, 5 Stockyard Street",Cunnamulla,QLD,4490,-28.069178,145.682094,4564 3900,"Monday: 9:00-13:00 - 14:00-16:00
Tuesday: 9:00-13:00 - 14:00-16:00
Wednesday: 9:30-13:00 - 14:00-16:00
Thursday: 9:00-13:00 - 14:00-16:00
Friday: 9:00-13:00 - 14:00-16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Dirranbandi QGAP,"Dirranbandi Rural Transaction Centre, 35 - 37 Railway Street",Dirranbandi,QLD,4486,-28.585558,148.226806,4625 8411,"Monday: 9:00-12:30 - 13:00 - 15:30
Tuesday: 9:00-12:30 - 13:00 - 15:30
Wednesday: 9:00-12:30 - 13:00 - 15:30
Thursday: 9:00-12:30 - 13:00 - 15:30
Friday: 9:00-12:30 - 13:00 - 15:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Eidsvold QGAP,48 Moreton St,Eidsvold,QLD,4627,-25.3711,151.12242,0493 611 180,"Monday: NA
Tuesday: NA
Wednesday: 9:30-13:00 - 13:30-15:00
Thursday: NA
Friday: 9:30-13:00 - 13:30-15:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Gatton QGAP,7 William Street,Gatton,QLD,4343,-27.556708,152.279134,4617 7470,"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 9:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Gayndah QGAP,"Gayndah Magistrates Court, 20 Capper Street",Gayndah,QLD,4625,-25.625276,151.609063,4161 4100,"Monday: 8:45-13:00 - 14:00-16:30
Tuesday: 8:45-13:00 - 14:00-16:30
Wednesday: 9:30-13:00 - 14:00-16:30
Thursday: 8:45-13:00 - 14:00-16:30
Friday: 8:45-13:00 - 14:00-16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Georgetown QGAP,12 High Street,Georgetown,QLD,4871,-18.291532,143.547598,4029 5201,"Monday: 9:00-13:00 - 13:45-16:00
Tuesday: 9:00-13:00 - 13:45-16:00
Wednesday: 9:00-13:00 - 13:45-16:00
Thursday: 9:00-13:00 - 13:45-16:00
Friday: 9:00-13:00 - 13:45-16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Goombungee QGAP,89 Mocatta Street,Goombungee,QLD,4354,-27.3039,151.851899,4696 5985,"Monday: 9:00 - 16:00
Tuesday: 9:00 - 16:00
Wednesday: 9:00 - 16:00
Thursday: 9:00 - 16:00
Friday: 9:00 - 16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Herberton QGAP,57A Grace Street,Herberton,QLD,4887,-17.383815,145.38684,13 QGOV (13 74 68),"Monday: NA
Tuesday: NA
Wednesday: NA
Thursday: 9:00-13:00 - 13:30-15:30
Friday: NA
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Hughenden QGAP,65 Brodie Street,Hughenden,QLD,4821,-20.842198,144.200179,4447 9209,"Monday: 9:00-13:00 - 13:45-16:00
Tuesday: 9:00-13:00 - 13:45-16:00
Wednesday: 9:00-13:00 - 13:45-16:00
Thursday: 9:00-13:00 - 13:45-16:00
Friday: 9:00-13:00 - 13:45-16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Inglewood QGAP,25 Albert Street,Inglewood,QLD,4387,-28.414003,151.083564,13 QGOV (13 74 68),"Monday: 10:00-12:00 - 12:30-14:30
Tuesday: 10:00-12:00 - 12:30-14:30
Wednesday: 10:00-12:00 - 12:30-14:30
Thursday: 10:00-12:00 - 12:30-14:30
Friday: NA
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Ingham QGAP,"Ingham Magistrates Court, 35 Palm Terrace",Ingham,QLD,4850,-18.651112,146.154617,13 QGOV (13 74 68),"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 9:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Injune QGAP,Hutton Street,Injune,QLD,4454,-25.845031,148.564292,4626 0502,"Monday: 8:30-12:00 - 13:00-16:30
Tuesday: 8:30-12:00 - 13:00-16:30
Wednesday: 8:30-12:00 - 13:00-16:30
Thursday: 8:30-12:00 - 13:00-16:30
Friday: 8:30-12:00 - 13:00-16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Isisford QGAP,"Police Station, St Mary Street",Isisford,QLD,4731,-24.260219,144.438698,4652 5133,"Monday: NA
Tuesday: NA
Wednesday: NA
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Jandowae QGAP,Corner of George and High Streets,Jandowae,QLD,4410,-26.78116,151.110075,4668 5488,"Monday: 9:00 - 16:00
Tuesday: 9:00 - 16:00
Wednesday: 9:00 - 16:00
Thursday: 9:00 - 16:00
Friday: 9:00 - 16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Julia Creek QGAP,"Julia Creek Magistrates Court, 14 Burke Street",Julia Creek,QLD,4823,-20.65712,141.74839,4746 7162,"Monday: NA
Tuesday: 9.00-12.30 - 13.15-16.00
Wednesday: 9.00-12.30 - 13.15-16.00
Thursday: 9.00-12.30 - 13.15-16.00
Friday: NA
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Jundah QGAP,"Police Station, Dickson Street",Jundah,QLD,4736,-24.831455,143.058856,4652 5113,"Monday: NA
Tuesday: NA
Wednesday: NA
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Kilkivan QGAP,26 Bligh Street,Kilkivan,QLD,4600,-26.085338,152.241388,5484 1859,"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 8:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Laidley QGAP,9 Spicer Street,Laidley,QLD,4341,-27.629922,152.395304,1300 005 872,"Monday: 9:00 - 16:00
Tuesday: 9:00 - 16:00
Wednesday: 9:00 - 16:00
Thursday: 9:00 - 16:00
Friday: 9:00 - 16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Landsborough QGAP,12 Caloundra Street,Landsborough,QLD,4550,-26.8099298,152.9660608,13 QGOV (13 74 68),"Monday: 9:00-12:30 - 13:00-16:00
Tuesday: 9:00-12:30 - 13:00-16:00
Wednesday: 9:00-12:30 - 13:00-16:00
Thursday: 9:00-12:30 - 13:00-16:00
Friday: 9:00-12:30 - 13:00-16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Lowood QGAP,1 Michel Street,Lowood,QLD,4311,-27.463471,152.580387,5425 9103,"Monday: 9:00-12:00 - 13:00-16:00
Tuesday: 9:00-12:00 - 13:00-16:00
Wednesday: 9:00-12:00 - 13:00-16:00
Thursday: 9:00-12:00 - 13:00-16:00
Friday: 9:00-12:00 - 13:00-16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Malanda QGAP,"Malanda Police Station, 29 James Street",Malanda,QLD,4885,-17.35272236,145.595679,13 QGOV (13 74 68),"Monday: NA
Tuesday: NA
Wednesday: 9:00-13:00 - 13:30-15:30
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Maleny QGAP,"Police Station, 10-14 Macadamia Drive",Maleny,QLD,4552,-26.758609,152.849285,5420 5333,"Monday: 9:00-12:00 - 12:30-14:00
Tuesday: 9:00-12:00 - 12:30-14:00
Wednesday: NA
Thursday: 9:00-12:00 - 12:30-14:00
Friday: NA
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Maroochydore QGSC,"Mike Ahern Centre, Ground floor, 12 First Avenue",Maroochydore,QLD,4558,-26.65509,153.09291,13 QGOV (13 74 68),"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 9:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Mary Valley QGAP,45 Main Street,Kandanga,QLD,4570,-26.38692,152.676474,5484 3203,"Monday: 9:00 - 17:00
Tuesday: 9:00 - 17:00
Wednesday: 9:00 - 17:00
Thursday: 9:00 - 17:00
Friday: 9:00 - 17:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Middlemount QGAP,"Middlemount Shopping Centre, James Randall Court",Middlemount,QLD,4746,-22.809045,148.698902,4985 7255,"Monday: 8:30-12:30 - 13:30-16:00
Tuesday: 8:30-12:30 - 13:30-16:00
Wednesday: 8:30-12:30 - 13:30-16:00
Thursday: 8:30-12:30 - 13:30-16:00
Friday: 8:30-12:30 - 13:30-16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Miles QGAP,"Police Station, 32 Constance Street",Miles,QLD,4415,-26.657153,150.185786,4627 1177,"Monday: 9:00-12:30 - 13.30-16:00
Tuesday: 9:00-12:30 - 13.30-16:00
Wednesday: 9:00-12:30 - 13.30-16:00
Thursday: 9:00-12:30 - 13.30-16:00
Friday: 9:00-12:30 - 13.30-16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Mirani QGAP,20 Victoria Street,Mirani,QLD,4754,-21.15876,148.863494,4961 9210,"Monday: 9:00 - 16:00
Tuesday: 9:00 - 16:00
Wednesday: 9:00 - 16:00
Thursday: 9:00 - 16:00
Friday: 9:00 - 16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Mitchell QGAP,"Mitchell Magistrates Court, Corner of Mary and Dublin Streets",Mitchell,QLD,4465,-26.488493,147.978231,4623 1106,"Monday: 9:00-12:30 - 13:30-16:00
Tuesday: 9:00-12:30 - 13:30-16:00
Wednesday: 9:30-12:30 - 13:30-16:00
Thursday: 9:00-12:30 - 13:30-16:00
Friday: 9:00-12:30 - 13:30-16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Monto QGAP,53 Newton Street,Monto,QLD,4630,-24.864663,151.124656,4166 1350,"Monday: 8:30 - 16:00
Tuesday: 8:30 - 16:00
Wednesday: 8:30 - 16:00
Thursday: 8:30 - 16:00
Friday: 8:30 - 16:00
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Moranbah QGAP,"Moranbah Magistrates Court, 21 Griffin Street",Moranbah,QLD,4744,-21.998992,148.045319,4951 8383,"Monday: 8:30-12:30 - 13:30-16:30
Tuesday: 9:30-12:30 - 13:30-16:30
Wednesday: 8:30-12:30 - 13:30-16:30
Thursday: 8:30-12:30 - 13:30-16:30
Friday: 8:30-12:30 - 13:30-16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Mossman QGAP,"Mossman Magistrates Court, 25-27 Front Street",Mossman,QLD,4873,-16.46042,145.373603,13 QGOV (13 74 68),"Monday: 8:30-13:00 - 14:00-16:30
Tuesday: 9:30-13:00 - 14:00-16:30
Wednesday: 8:30-13:00 - 14:00-16:30
Thursday: 8:30-13:00 - 14:00-16:30
Friday: 8:30-13:00 - 14:00-16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Mount Morgan QGAP,32 Hall Street,Mt Morgan,QLD,4714,-23.648318,150.388611,4938 1359,"Monday: 9:00 - 16:30
Tuesday: 9:00 - 16:30
Wednesday: 9:00 - 16:30
Thursday: 9:00 - 16:30
Friday: 9:00 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Moura QGAP,Marshall and Shirley Streets,Moura,QLD,4718,-24.570353,149.973206,13 QGOV (13 74 68),"Monday: 9:00-12:00 - 13:00-16:30
Tuesday: 9:00-12:00 - 13:00-16:30
Wednesday: 10:00-12:00 - 13:00-16:30
Thursday: 9:00-12:00 - 13:00-16:30
Friday: 9:00-12:00 - 13:00-16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Mt Garnet QGAP,"Police Station, Garnet Street",Mount Garnet,QLD,4872,-17.67661,145.1143,13 QGOV (13 74 68),"Monday: 10:00 - 13:00 - 13:30 - 15:30
Tuesday: NA
Wednesday: NA
Thursday: NA
Friday: 10:00 - 13:00 - 13:30 - 15:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Mundubbera QGAP,69 Stuart-Russell Street,Mundubbera,QLD,4626,-25.59093,151.299568,07 4165 4690,"Monday: 9:30-13:00 - 13:30-15:30
Tuesday: 9:30-13:00 - 13:30-15:30
Wednesday: 9:30-13:00 - 13:30-15:30
Thursday: 9:30-13:00 - 13:30-15:30
Friday: NA
Saturday: NA
Sunday: NA",Library,Libraries_QLD
Murgon QGAP,"Murgon Magistrates Court, 48 Stephens Street West",Murgon,QLD,4605,-26.240038,151.940991,4169 9100,"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 8:30 - 16:00
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA",Library,Libraries_QLD
