name,address,suburb,state,postcode,latitude,longitude,phone,opening_hours
NA,104 Ferguson Street,Williamstown,VIC,3016,-37.86,144.9,NA,NA
Hyphen Wodonga Library Gallery,126 Hovell St,Wodonga,VIC,3689,-37.68,144.99,02 6022 9330,NA
NA,Murray Street,Wonthaggi,VIC,3995,-38.53,145.45,5672 1875,NA
NA,Cnr High & Forest Streets,Woodend,VIC,3442,-37.39,144.45,5427 2074,NA
Community Resource Centre,280 Broadway,Wycheproof,VIC,3527,-36.06,143.39,1300 520 520,NA
NA,86 Manor Lakes Blvd,Wyndham Vale,VIC,3024,-37.9,144.56,8734 8930,NA
NA,34 High Street,Yackandandah,VIC,3749,-36.41,146.86,02 6028 1180,NA
NA,Hoddle Street,Yarra Junction,VIC,3797,-37.86,145.71,1300 737 277,NA
NA,156 Grant Street,Yarram,VIC,3971,-38.61,146.67,5182 5135,NA
NA,32 Wembley Avenue,Yarraville,VIC,3013,-37.82,144.89,9688 0294,NA
NA,26-39 Belmore Street,Yarrawonga,VIC,3730,-36.03,146.08,1300 374 765,NA
NA,The Semi Circle,Yea,VIC,3717,-37.34,145.29,5772 0333,NA
Agnes Water QGAP,71 Springs Road,Agnes Water,QLD,4677,-24.212252,151.910144,13 QGOV (13 74 68),"Monday: 9:00 - 16:30
Tuesday: 9:00 - 16:30
Wednesday: 9:00 - 16:30
Thursday: 9:00 - 16:30
Friday: 9:00 - 16:30
Saturday: NA
Sunday: NA"
Aramac QGAP,58 Gordon Street,Aramac,QLD,4726,-22.970524,145.242898,4651 3359,"Monday: 9:00-13:00 - 13:30-16:00
Tuesday: 9:00-13:00 - 13:30-16:00
Wednesday: 9:00-13:00 - 13:30-16:00
Thursday: 9:00-13:00 - 13:30-16:00
Friday: 9:00-13:00 - 13:30-16:00
Saturday: NA
Sunday: NA"
Augathella QGAP,"Augathella Visitors Centre, 98 Main Street",Augathella,QLD,4477,-25.795825,146.581712,4654 5007,"Monday: 9:30-12:30 - 13:30-15:30
Tuesday: 9:30-12:30 - 13:30-15:30
Wednesday: 9:30-12:30 - 13:30-15:30
Thursday: 9:30-12:30 - 13:30-15:30
Friday: 9:30-12:30 - 13:30-16:00
Saturday: NA
Sunday: NA"
Ayr QGAP,"Ayr Magistrates Court, 163 Queen Street",Ayr,QLD,4807,-19.5758409,147.4050228,47842801,"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 8:30 - 16:30
Thursday: 9:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
Babinda QGAP,10 Munro Street,Babinda,QLD,4861,-17.343982,145.924292,40615999,"Monday: 8:00 - 15:30
Tuesday: 8:00 - 15:30
Wednesday: NA
Thursday: 8:00 - 15:30
Friday: 8:00 - 15:00
Saturday: NA
Sunday: NA"
Barcaldine QGAP,"Barcaldine Magistrates Court, 65 Ash Street",Barcaldine,QLD,4725,-23.553474,145.290261,4651 2795,"Monday: 9:00 - 12:30 - 13:30 - 16:30
Tuesday: 9:00 - 12:30 - 13:30 - 16:30
Wednesday: 10:00 - 12:30 - 13:30 - 16:30
Thursday: 9:00 - 12:30 - 13:30 - 16:30
Friday: 9:00 - 12:30 - 13:30 - 16:30
Saturday: NA
Sunday: NA"
Beaudesert QGAP,"Tenancy 2, 1 Telemon Street",Beaudesert,QLD,4285,-27.988324,152.99542,13 QGOV (13 74 68),"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 9:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
Bedourie QGAP,"Police Station, Merri Street",Bedourie,QLD,4829,-24.358787,139.469664,4744 1601,"Monday: NA
Tuesday: NA
Wednesday: 8:00 - 16:00
Thursday: 8:00 - 16:00
Friday: NA
Saturday: NA
Sunday: NA"
Biloela QGAP,Cnr Grevillea and Melton Streets,Biloela,QLD,4715,-24.400826,150.513251,4992 8700,"Monday: 8:30 - 12:30 - 13:30 - 16:30
Tuesday: 8:30 - 12:30 - 13:30 - 16:30
Wednesday: 9:30 - 12:30 - 13:30 - 16:30
Thursday: 8:30 - 12:30 - 13:30 - 16:30
Friday: 8:30 - 12:30 - 13:30 - 16:30
Saturday: NA
Sunday: NA"
Birdsville QGAP,"Police Station, 17 MacDonald Street",Birdsville,QLD,4482,-25.901947,139.349082,4744 1663,"Monday: NA
Tuesday: NA
Wednesday: NA
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA"
Blackall QGAP,Shamrock Street,Blackall,QLD,4472,-24.421675,145.45902,4657 4233,"Monday: 9:00-13:00 - 14:00-16:30
Tuesday: 9:00-13:00 - 14:00-16:30
Wednesday: 9:00-13:00 - 14:00-16:30
Thursday: 9:00-13:00 - 14:00-16:30
Friday: 9:00-13:00 - 14:00-16:30
Saturday: NA
Sunday: NA"
Blackbutt QGAP,69 Hart Street,Blackbutt,QLD,4314,-26.884029,152.101976,4163 0030,"Monday: 9:00-12:00 - 13:00-16:00
Tuesday: 9:00-12:00 - 13:00-16:00
Wednesday: 9:00-12:00 - 13:00-16:00
Thursday: 9:00-12:00 - 13:00-16:00
Friday: 9:00-12:00 - 13:00-16:00
Saturday: NA
Sunday: NA"
Boonah QGAP,70 High Street,Boonah,QLD,4310,-27.996542,152.682354,13 QGOV (13 74 68),"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 8:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
Boulia QGAP,"Boulia Police Station, 39 Herbert Street",Boulia,QLD,4829,-22.909859,139.906762,4744 1642,"Monday: NA
Tuesday: 8:00 - 15:30
Wednesday: 8:00 - 15:30
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA"
Brisbane QGSC,"Upper Plaza (access via the corner of George & Charlotte Streets), 33 Charlotte Street",Brisbane,QLD,4000,-27.472,153.02591,13 QGOV (13 74 68),"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 9:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
Cairns QGSC,"William McCormack Place Ground Floor, 5B Sheridan Street",Cairns,QLD,4870,-16.92641,145.77538,13 QGOV (13 74 68),"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 9:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
Camooweal QGAP,Barkly Street,Camooweal,QLD,4828,-19.921387,138.1179982,4748 2025,"Monday: NA
Tuesday: NA
Wednesday: NA
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA"
Cannonvale QGAP,"Shops 5 - 7, 11 Island Drive",Cannonvale,QLD,4802,-20.278079,148.700917,13 QGOV (13 74 68),"Monday: 9:00-12:00 - 13:00-16:30
Tuesday: 9:00-12:00 - 13:00-16:30
Wednesday: 9:30-12:00 - 13:00-16:30
Thursday: 9:00-12:00 - 13:00-16:30
Friday: 9:00-12:00 - 13:00-16:30
Saturday: NA
Sunday: NA"
Childers QGAP,67 Churchill Street,Childers,QLD,4660,-25.23571,152.277821,4126 1455,"Monday: 8:30-13:00 - 14:00-16:00
Tuesday: 8:30-13:00 - 14:00-16:00
Wednesday: 9:30-13:00 - 14:00-16:00
Thursday: 8:30-13:00 - 14:00-16:00
Friday: 8:30-13:00 - 14:00-16:00
Saturday: NA
Sunday: NA"
Chinchilla QGAP,"Chinchilla Magistrates Court, 90 Heeney Street",Chinchilla,QLD,4413,-26.740124,150.624897,07 4672 4650 or 13 23 80,"Monday: 8:30-13:00 - 14:00-16:00
Tuesday: 8:30-13:00 - 14:00-16:00
Wednesday: 9:30-13:00 - 14:00-16:00
Thursday: 8:30-13:00 - 14:00-16:00
Friday: 8:30-13:00 - 14:00-16:00
Saturday: NA
Sunday: NA"
Clermont QGAP,44 Daintree Street,Clermont,QLD,4721,-22.824185,147.639695,13 QGOV (13 74 68),"Monday: 9:00-12:30 - 13:30-16:30
Tuesday: 9:00-12:30 - 13:30-16:30
Wednesday: 10:00-12:30 - 13:30-16:30
Thursday: 9:00-12:30 - 13:30-16:30
Friday: 9:00-12:30 - 13:30-16:30
Saturday: NA
Sunday: NA"
Collinsville QGAP,62 Sonoma Street,Collinsville,QLD,4804,-20.548952,147.84234,4785 5567,"Monday: 9:00-12:30 - 14:00-16:30
Tuesday: 9:00-12:30 - 14:00-16:30
Wednesday: 9:00-12:30 - 14:00-16:30
Thursday: 9:00-12:30 - 14:00-16:30
Friday: 9:00-12:30 - 14:00-16:30
Saturday: NA
Sunday: NA"
Cooktown QGAP,"Cooktown Magistrates Court, 172 Charlotte Street",Cooktown,QLD,4895,-15.461084,145.250666,4082 1000,"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 8:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
Croydon QGAP,63 Samwell Street,Croydon,QLD,4871,-18.203578,142.244151,4748 7101,"Monday: 9:30 - 15:30
Tuesday: 9:30 - 15:30
Wednesday: NA
Thursday: 9:30 - 15:30
Friday: NA
Saturday: NA
Sunday: NA"
Crows Nest QGAP,"Heritage Bank Building, 16 Charlotte Street",Crows Nest,QLD,4355,-27.260552,152.056337,4513 1000,"Monday: 9:30 - 15:30
Tuesday: 9:30 - 15:30
Wednesday: 9:30 - 15:30
Thursday: 9:30 - 15:30
Friday: 9:30 - 15:30
Saturday: NA
Sunday: NA"
Cunnamulla QGAP,"Cunnamulla Magistrates Court, 5 Stockyard Street",Cunnamulla,QLD,4490,-28.069178,145.682094,4564 3900,"Monday: 9:00-13:00 - 14:00-16:00
Tuesday: 9:00-13:00 - 14:00-16:00
Wednesday: 9:30-13:00 - 14:00-16:00
Thursday: 9:00-13:00 - 14:00-16:00
Friday: 9:00-13:00 - 14:00-16:00
Saturday: NA
Sunday: NA"
Dirranbandi QGAP,"Dirranbandi Rural Transaction Centre, 35 - 37 Railway Street",Dirranbandi,QLD,4486,-28.585558,148.226806,4625 8411,"Monday: 9:00-12:30 - 13:00 - 15:30
Tuesday: 9:00-12:30 - 13:00 - 15:30
Wednesday: 9:00-12:30 - 13:00 - 15:30
Thursday: 9:00-12:30 - 13:00 - 15:30
Friday: 9:00-12:30 - 13:00 - 15:30
Saturday: NA
Sunday: NA"
Eidsvold QGAP,48 Moreton St,Eidsvold,QLD,4627,-25.3711,151.12242,0493 611 180,"Monday: NA
Tuesday: NA
Wednesday: 9:30-13:00 - 13:30-15:00
Thursday: NA
Friday: 9:30-13:00 - 13:30-15:00
Saturday: NA
Sunday: NA"
Gatton QGAP,7 William Street,Gatton,QLD,4343,-27.556708,152.279134,4617 7470,"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 9:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
Gayndah QGAP,"Gayndah Magistrates Court, 20 Capper Street",Gayndah,QLD,4625,-25.625276,151.609063,4161 4100,"Monday: 8:45-13:00 - 14:00-16:30
Tuesday: 8:45-13:00 - 14:00-16:30
Wednesday: 9:30-13:00 - 14:00-16:30
Thursday: 8:45-13:00 - 14:00-16:30
Friday: 8:45-13:00 - 14:00-16:30
Saturday: NA
Sunday: NA"
Georgetown QGAP,12 High Street,Georgetown,QLD,4871,-18.291532,143.547598,4029 5201,"Monday: 9:00-13:00 - 13:45-16:00
Tuesday: 9:00-13:00 - 13:45-16:00
Wednesday: 9:00-13:00 - 13:45-16:00
Thursday: 9:00-13:00 - 13:45-16:00
Friday: 9:00-13:00 - 13:45-16:00
Saturday: NA
Sunday: NA"
Goombungee QGAP,89 Mocatta Street,Goombungee,QLD,4354,-27.3039,151.851899,4696 5985,"Monday: 9:00 - 16:00
Tuesday: 9:00 - 16:00
Wednesday: 9:00 - 16:00
Thursday: 9:00 - 16:00
Friday: 9:00 - 16:00
Saturday: NA
Sunday: NA"
Herberton QGAP,57A Grace Street,Herberton,QLD,4887,-17.383815,145.38684,13 QGOV (13 74 68),"Monday: NA
Tuesday: NA
Wednesday: NA
Thursday: 9:00-13:00 - 13:30-15:30
Friday: NA
Saturday: NA
Sunday: NA"
Hughenden QGAP,65 Brodie Street,Hughenden,QLD,4821,-20.842198,144.200179,4447 9209,"Monday: 9:00-13:00 - 13:45-16:00
Tuesday: 9:00-13:00 - 13:45-16:00
Wednesday: 9:00-13:00 - 13:45-16:00
Thursday: 9:00-13:00 - 13:45-16:00
Friday: 9:00-13:00 - 13:45-16:00
Saturday: NA
Sunday: NA"
Inglewood QGAP,25 Albert Street,Inglewood,QLD,4387,-28.414003,151.083564,13 QGOV (13 74 68),"Monday: 10:00-12:00 - 12:30-14:30
Tuesday: 10:00-12:00 - 12:30-14:30
Wednesday: 10:00-12:00 - 12:30-14:30
Thursday: 10:00-12:00 - 12:30-14:30
Friday: NA
Saturday: NA
Sunday: NA"
Ingham QGAP,"Ingham Magistrates Court, 35 Palm Terrace",Ingham,QLD,4850,-18.651112,146.154617,13 QGOV (13 74 68),"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 9:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
Injune QGAP,Hutton Street,Injune,QLD,4454,-25.845031,148.564292,4626 0502,"Monday: 8:30-12:00 - 13:00-16:30
Tuesday: 8:30-12:00 - 13:00-16:30
Wednesday: 8:30-12:00 - 13:00-16:30
Thursday: 8:30-12:00 - 13:00-16:30
Friday: 8:30-12:00 - 13:00-16:30
Saturday: NA
Sunday: NA"
Isisford QGAP,"Police Station, St Mary Street",Isisford,QLD,4731,-24.260219,144.438698,4652 5133,"Monday: NA
Tuesday: NA
Wednesday: NA
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA"
Jandowae QGAP,Corner of George and High Streets,Jandowae,QLD,4410,-26.78116,151.110075,4668 5488,"Monday: 9:00 - 16:00
Tuesday: 9:00 - 16:00
Wednesday: 9:00 - 16:00
Thursday: 9:00 - 16:00
Friday: 9:00 - 16:00
Saturday: NA
Sunday: NA"
Julia Creek QGAP,"Julia Creek Magistrates Court, 14 Burke Street",Julia Creek,QLD,4823,-20.65712,141.74839,4746 7162,"Monday: NA
Tuesday: 9.00-12.30 - 13.15-16.00
Wednesday: 9.00-12.30 - 13.15-16.00
Thursday: 9.00-12.30 - 13.15-16.00
Friday: NA
Saturday: NA
Sunday: NA"
Jundah QGAP,"Police Station, Dickson Street",Jundah,QLD,4736,-24.831455,143.058856,4652 5113,"Monday: NA
Tuesday: NA
Wednesday: NA
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA"
Kilkivan QGAP,26 Bligh Street,Kilkivan,QLD,4600,-26.085338,152.241388,5484 1859,"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 8:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
Laidley QGAP,9 Spicer Street,Laidley,QLD,4341,-27.629922,152.395304,1300 005 872,"Monday: 9:00 - 16:00
Tuesday: 9:00 - 16:00
Wednesday: 9:00 - 16:00
Thursday: 9:00 - 16:00
Friday: 9:00 - 16:00
Saturday: NA
Sunday: NA"
Landsborough QGAP,12 Caloundra Street,Landsborough,QLD,4550,-26.8099298,152.9660608,13 QGOV (13 74 68),"Monday: 9:00-12:30 - 13:00-16:00
Tuesday: 9:00-12:30 - 13:00-16:00
Wednesday: 9:00-12:30 - 13:00-16:00
Thursday: 9:00-12:30 - 13:00-16:00
Friday: 9:00-12:30 - 13:00-16:00
Saturday: NA
Sunday: NA"
Lowood QGAP,1 Michel Street,Lowood,QLD,4311,-27.463471,152.580387,5425 9103,"Monday: 9:00-12:00 - 13:00-16:00
Tuesday: 9:00-12:00 - 13:00-16:00
Wednesday: 9:00-12:00 - 13:00-16:00
Thursday: 9:00-12:00 - 13:00-16:00
Friday: 9:00-12:00 - 13:00-16:00
Saturday: NA
Sunday: NA"
Malanda QGAP,"Malanda Police Station, 29 James Street",Malanda,QLD,4885,-17.35272236,145.595679,13 QGOV (13 74 68),"Monday: NA
Tuesday: NA
Wednesday: 9:00-13:00 - 13:30-15:30
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA"
Maleny QGAP,"Police Station, 10-14 Macadamia Drive",Maleny,QLD,4552,-26.758609,152.849285,5420 5333,"Monday: 9:00-12:00 - 12:30-14:00
Tuesday: 9:00-12:00 - 12:30-14:00
Wednesday: NA
Thursday: 9:00-12:00 - 12:30-14:00
Friday: NA
Saturday: NA
Sunday: NA"
Maroochydore QGSC,"Mike Ahern Centre, Ground floor, 12 First Avenue",Maroochydore,QLD,4558,-26.65509,153.09291,13 QGOV (13 74 68),"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 9:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
Mary Valley QGAP,45 Main Street,Kandanga,QLD,4570,-26.38692,152.676474,5484 3203,"Monday: 9:00 - 17:00
Tuesday: 9:00 - 17:00
Wednesday: 9:00 - 17:00
Thursday: 9:00 - 17:00
Friday: 9:00 - 17:00
Saturday: NA
Sunday: NA"
Middlemount QGAP,"Middlemount Shopping Centre, James Randall Court",Middlemount,QLD,4746,-22.809045,148.698902,4985 7255,"Monday: 8:30-12:30 - 13:30-16:00
Tuesday: 8:30-12:30 - 13:30-16:00
Wednesday: 8:30-12:30 - 13:30-16:00
Thursday: 8:30-12:30 - 13:30-16:00
Friday: 8:30-12:30 - 13:30-16:00
Saturday: NA
Sunday: NA"
Miles QGAP,"Police Station, 32 Constance Street",Miles,QLD,4415,-26.657153,150.185786,4627 1177,"Monday: 9:00-12:30 - 13.30-16:00
Tuesday: 9:00-12:30 - 13.30-16:00
Wednesday: 9:00-12:30 - 13.30-16:00
Thursday: 9:00-12:30 - 13.30-16:00
Friday: 9:00-12:30 - 13.30-16:00
Saturday: NA
Sunday: NA"
Mirani QGAP,20 Victoria Street,Mirani,QLD,4754,-21.15876,148.863494,4961 9210,"Monday: 9:00 - 16:00
Tuesday: 9:00 - 16:00
Wednesday: 9:00 - 16:00
Thursday: 9:00 - 16:00
Friday: 9:00 - 16:00
Saturday: NA
Sunday: NA"
Mitchell QGAP,"Mitchell Magistrates Court, Corner of Mary and Dublin Streets",Mitchell,QLD,4465,-26.488493,147.978231,4623 1106,"Monday: 9:00-12:30 - 13:30-16:00
Tuesday: 9:00-12:30 - 13:30-16:00
Wednesday: 9:30-12:30 - 13:30-16:00
Thursday: 9:00-12:30 - 13:30-16:00
Friday: 9:00-12:30 - 13:30-16:00
Saturday: NA
Sunday: NA"
Monto QGAP,53 Newton Street,Monto,QLD,4630,-24.864663,151.124656,4166 1350,"Monday: 8:30 - 16:00
Tuesday: 8:30 - 16:00
Wednesday: 8:30 - 16:00
Thursday: 8:30 - 16:00
Friday: 8:30 - 16:00
Saturday: NA
Sunday: NA"
Moranbah QGAP,"Moranbah Magistrates Court, 21 Griffin Street",Moranbah,QLD,4744,-21.998992,148.045319,4951 8383,"Monday: 8:30-12:30 - 13:30-16:30
Tuesday: 9:30-12:30 - 13:30-16:30
Wednesday: 8:30-12:30 - 13:30-16:30
Thursday: 8:30-12:30 - 13:30-16:30
Friday: 8:30-12:30 - 13:30-16:30
Saturday: NA
Sunday: NA"
Mossman QGAP,"Mossman Magistrates Court, 25-27 Front Street",Mossman,QLD,4873,-16.46042,145.373603,13 QGOV (13 74 68),"Monday: 8:30-13:00 - 14:00-16:30
Tuesday: 9:30-13:00 - 14:00-16:30
Wednesday: 8:30-13:00 - 14:00-16:30
Thursday: 8:30-13:00 - 14:00-16:30
Friday: 8:30-13:00 - 14:00-16:30
Saturday: NA
Sunday: NA"
Mount Morgan QGAP,32 Hall Street,Mt Morgan,QLD,4714,-23.648318,150.388611,4938 1359,"Monday: 9:00 - 16:30
Tuesday: 9:00 - 16:30
Wednesday: 9:00 - 16:30
Thursday: 9:00 - 16:30
Friday: 9:00 - 16:30
Saturday: NA
Sunday: NA"
Moura QGAP,Marshall and Shirley Streets,Moura,QLD,4718,-24.570353,149.973206,13 QGOV (13 74 68),"Monday: 9:00-12:00 - 13:00-16:30
Tuesday: 9:00-12:00 - 13:00-16:30
Wednesday: 10:00-12:00 - 13:00-16:30
Thursday: 9:00-12:00 - 13:00-16:30
Friday: 9:00-12:00 - 13:00-16:30
Saturday: NA
Sunday: NA"
Mt Garnet QGAP,"Police Station, Garnet Street",Mount Garnet,QLD,4872,-17.67661,145.1143,13 QGOV (13 74 68),"Monday: 10:00 - 13:00 - 13:30 - 15:30
Tuesday: NA
Wednesday: NA
Thursday: NA
Friday: 10:00 - 13:00 - 13:30 - 15:30
Saturday: NA
Sunday: NA"
Mundubbera QGAP,69 Stuart-Russell Street,Mundubbera,QLD,4626,-25.59093,151.299568,07 4165 4690,"Monday: 9:30-13:00 - 13:30-15:30
Tuesday: 9:30-13:00 - 13:30-15:30
Wednesday: 9:30-13:00 - 13:30-15:30
Thursday: 9:30-13:00 - 13:30-15:30
Friday: NA
Saturday: NA
Sunday: NA"
Murgon QGAP,"Murgon Magistrates Court, 48 Stephens Street West",Murgon,QLD,4605,-26.240038,151.940991,4169 9100,"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 8:30 - 16:00
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
Nanango QGAP,"Nanango Magistrates Court, 30 Henry Street",Nanango,QLD,4615,-26.670634,152.002425,4162 6830,"Monday: 8:30-13:00 - 14:00-16:00
Tuesday: 8:30-13:00 - 14:00-16:00
Wednesday: 9:30-13:00 - 14:00-16:00
Thursday: 8:30-13:00 - 14:00-16:00
Friday: 8:30-13:00 - 14:00-16:00
Saturday: NA
Sunday: NA"
Normanton QGAP,"Normanton Magistrates Court, 24 Haig Street",Normanton,QLD,4890,-17.668241,141.079622,4445 1100,"Monday: 8:30-12:30 - 13:30-16:30
Tuesday: 8:30-12:30 - 13:30-16:30
Wednesday: 8:30-12:30 - 13:30-16:30
Thursday: 8:30-12:30 - 13:30-16:30
Friday: 8:30-12:30 - 13:30-16:30
Saturday: NA
Sunday: NA"
Oakey QGAP,73 Campbell Street,Oakey,QLD,4401,-27.4344096,151.7184996,13 QGOV (13 74 68),"Monday: 9:00-13:00 - 14:00-16:30
Tuesday: 9:00-13:00 - 14:00-16:30
Wednesday: 9:30-13:00 - 14:00-16:30
Thursday: 9:00-13:00 - 14:00-16:30
Friday: 9:00-13:00 - 14:00-16:30
Saturday: NA
Sunday: NA"
Pittsworth QGAP,"Pittsworth Magistrates Court, 77 Yandilla Street",Pittsworth,QLD,4356,-27.715161,151.633825,13 QGOV (13 74 68),"Monday: 8:30-13:00 - 14:00-16:00
Tuesday: 8:30-13:00 - 14:00-16:00
Wednesday: 9:30-13:00 - 14:00-16:00
Thursday: 8:30-13:00 - 14:00-16:00
Friday: 8:30-13:00 - 14:00-16:00
Saturday: NA
Sunday: NA"
Quilpie QGAP,"Courthouse, Buln Buln Street",Quilpie,QLD,4480,-26.613066,144.26881,13 QGOV (13 74 68),"Monday: 9:00 - 15:30
Tuesday: 9:00 - 15:30
Wednesday: NA
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA"
Ravenshoe QGAP,27 - 29 Grigg Street,Ravenshoe,QLD,4888,-17.604665,145.481041,13 QGOV (13 74 68),"Monday: 9:00-13:00 - 13:30-16:00
Tuesday: 9:00-13:00 - 13:30-16:00
Wednesday: 9:00-13:00 - 13:30-16:00
Thursday: 9:00-13:00 - 13:30-16:00
Friday: 9:00-13:00 - 13:30-16:00
Saturday: NA
Sunday: NA"
Richmond QGAP,"Richmond Magistrates Court, 53 Goldring Street",Richmond,QLD,4822,-20.726635,143.14002,4741 3227,"Monday: 10:00 - 14:30
Tuesday: 10:00 - 14:30
Wednesday: 10:00 - 14:30
Thursday: 10:00 - 14:30
Friday: 10:00 - 14:30
Saturday: NA
Sunday: NA"
Sarina QGAP,"Sarina Magistrates Court, 52-54 Broad Street",Sarina,QLD,4737,-21.419526,149.216241,4956 1820,"Monday: 8:30-12:30 - 13:30-16:30
Tuesday: 8:30-12:30 - 13:30-16:30
Wednesday: 9:30-12:30 - 13:30-16:30
Thursday: 8:30-12:30 - 13:30-16:30
Friday: 8:30-12:30 - 13:30-16:30
Saturday: NA
Sunday: NA"
Springsure QGAP,"Springsure Magistrates Court, 45 Eclipse Street",Springsure,QLD,4722,-24.113953,148.089221,4984 1433,"Monday: 8:30-12:30 - 13:30-16:30
Tuesday: NA
Wednesday: 9:30-12:30 - 13:30-16:30
Thursday: NA
Friday: 8:30-12:30 - 13:30-16:30
Saturday: NA
Sunday: NA"
St George QGAP,"St George Magistrates Court, The Terrace",St George,QLD,4487,-28.03325,148.58321,4622 9580 or 13 23 80,"Monday: 8:30-13:00 - 14:00-16:00
Tuesday: 8:30-13:00 - 14:00-16:00
Wednesday: 9:30-13:00 - 14:00-16:00
Thursday: 8:30-13:00 - 14:00-16:00
Friday: 8:30-13:00 - 14:00-16:00
Saturday: NA
Sunday: NA"
Stanthorpe QGAP,51 Marsh Street,Stanthorpe,QLD,4380,-28.652483,151.934103,13 QGOV (13 74 68),"Monday: 8:30-13:00 - 14:00-16:00
Tuesday: 8:30-13:00 - 14:00-16:00
Wednesday: 9:30-13:00 - 14:00-16:00
Thursday: 8:30-13:00 - 14:00-16:00
Friday: 8:30-13:00 - 14:00-16:00
Saturday: NA
Sunday: NA"
Surat QGAP,62 Burrowes Street,Surat,QLD,4417,-27.151861,149.068292,4626 5523,"Monday: 9:00 - 16:30
Tuesday: 9:00 - 16:30
Wednesday: 9:00 - 16:30
Thursday: 9:00 - 16:30
Friday: 9:00 - 16:30
Saturday: NA
Sunday: NA"
Tara QGAP,19 Fry Street,Tara,QLD,4421,-27.27819,150.459633,4665 3130,"Monday: 9:30-13:00 - 14:00-16:00
Tuesday: NA
Wednesday: 9:30-13:00 - 14:00-16:00
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA"
Taroom QGAP,"Taroom Magistrates Court, 33 Yaldwyn Street",Taroom,QLD,4420,-25.640685,149.79531,4627 3106,"Monday: 08:30-13:00 - 14:00-16:30
Tuesday: 08:30-13:00 - 14:00-16:30
Wednesday: 09:30-13:00 - 14:00-16:30
Thursday: 08:30-13:00 - 14:00-16:30
Friday: 08:30-13:00 - 14:00-16:30
Saturday: NA
Sunday: NA"
Texas QGAP,32 Cadell Street,Texas,QLD,4385,-28.853845,151.169534,13 QGOV (13 74 68),"Monday: NA
Tuesday: 9:00 - 13:00
Wednesday: NA
Thursday: 9:00 - 13:00
Friday: NA
Saturday: NA
Sunday: NA"
Thargomindah QGAP,"Police Station, Dowling Street",Thargomindah,QLD,4492,-27.996239,143.821846,4655 3291,"Monday: NA
Tuesday: NA
Wednesday: 8:00 - 16:00
Thursday: 8:00 - 16:00
Friday: NA
Saturday: NA
Sunday: NA"
Thursday Island QGAP,"Thursday Island Magistrates Court, 136 Douglas Street",Thursday Island,QLD,4875,-10.584875,142.214044,4212 3900,"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 8:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
