_id,Name,Street Address,Street Suburb,Street State,Street Postcode,Postal Address,Postal Suburb,Postal State,Postal Postcode,Phone,Latitude (Decimal),Longitude (Decimal),Elevation from Sea Level (in m)
179,Port Hedland Public Library,"Shop 7, Port Hedland Boulevard, Anderson Street",Port Hedland,WA,6721,PO Box 2361,South Hedland,WA,6722,08 9158 9373,-20.31197224,118.6077601,9
180,Quairading Public Library,"Post Office Building, 1 Jennaberring Road",Quairading,WA,6383,"1 Jennaberring Rd, Post Office Building",Quairading,WA,6383,08 9645 1133,-32.00991,117.40132,253
181,Ravensthorpe Public Library,"Community Resource Centre, Dunn Street",Ravensthorpe,WA,6346,PO Box 299,Ravensthorpe,WA,6346,08 9838 1340,-33.58102,120.04305,232
182,Riverton Public Library,67 Riley Road,Riverton,WA,6148,PO Box 105,Parkwood,WA,6147,08 9231 0944,-32.03752,115.90333,10
183,Rockingham Central Library,Dixon Road,Rockingham,WA,6168,Dixon Road,Rockingham,WA,6168,08 9360 7060,-32.27782,115.75187,6
184,Roebourne Public Library,38 Roe Street,Roebourne,WA,6718,PO Box 219,Karratha,WA,6714,08 9186 8030,-20.77345891,117.146337,13
185,Safety Bay Public Library,197 Safety Bay Road,Safety Bay,WA,6169,197 Safety Bay Road,Safety Bay,WA,6169,08 9528 8611,-32.30106,115.71024,3
186,Sandstone Public Library,Hack Street,Sandstone,WA,6639,Hack Street,Sandstone,WA,6639,08 9963 5802,-27.98714,119.29688,535
187,Scarborough Public Library,"Scarborough Civic Centre, 173 Gildercliffe Street",Scarborough,WA,6019,173 Gildercliffe Street,Scarborough,WA,6019,08 9205 7420,-31.89466,115.77464,39
188,Seville Grove Public Library,78 Champion Drive,Seville Grove,WA,6112,78 Champion Dve,Seville Grove,WA,6112,08 9399 0800,-32.13172,116.00191,40
189,Shark Bay Public Library,65 Knight Terrace,Denham,WA,6537,PO Box 126,Denham,WA,6537,08 9948 1218,-25.92835,113.53558,9
190,State Library of Western Australia,25 Francis Street,Perth,WA,6000,Perth Cultural Centre,Perth,WA,6000,08 9427 3162,-31.949,115.86047,18
191,South Hedland Public Library,Leake Street,South Hedland,WA,6722,PO Box 2361,South Hedland,WA,6722,08 9158 9373,-20.41217,118.60159,18
192,South Perth Public Library,Cnr South Terrace and Sandgate Street,South Perth,WA,6151,Cnr South Terrace and Sandgate Street,South Perth,WA,6151,08 9474 0800,-31.98788,115.86678,22
193,Southern Cross Public Library,Canopus Street,Southern Cross,WA,6426,PO Box 178,Southern Cross,WA,6426,08 9049 1688,-31.2308,119.32622,363
194,Spearwood Public Library,9 Coleville Crescent,Spearwood,WA,6163,PO Box 1215,Bibra Lake,WA,6965,08 9411 3800,-32.1005,115.78404,30
195,Subiaco Public Library,237 Rokeby Road,Subiaco,WA,6008,PO Box 526,Subiaco,WA,6904,08 9237 9300,-31.9508,115.82372,35
196,Success Public Library,Cnr Wentworth Parade and Beeliar Drive,Success,WA,6164,PO Box 1215,Bibra Lake,WA,6164,08 9411 3840,-32.12971,115.85298,37
197,Tambellup Public Library,"Tambellup Community Resource Centre, 32-34 Norrish Street",Tambellup,WA,6320,34 Norrish Street,Tambellup,WA,6320,08 9825 1177,-34.04506,117.64187,269
198,Tammin Public Library,1 Donnan Street,Tammin,WA,6409,PO Box 53,Tammin,WA,6409,08 9637 1101,-31.64107,117.48403,246
199,Thornlie Public Library,1 Culross Avenue,Thornlie,WA,6108,PO Box 662,Gosnells,WA,6108,08 9251 8750,-32.05528,115.96523,18
200,Three Springs Public Library,Railway Road,Three Springs,WA,6519,PO Box 117,Three Springs,WA,6519,08 9954 1001,-29.53619,115.76502,254
201,Tom Price Public Library,Central Road,Tom Price,WA,6751,PO Box 205,Tom Price,WA,6751,08 9188 5455,-22.69405,117.79435,731
202,Toodyay Public Library,96 Stirling Terrace,Toodyay,WA,6566,PO Box 96,Toodyay,WA,6566,08 9574 2323,-31.5503,116.46958,139
203,Trayning Public Library,Railway Street,Trayning,WA,6488,PO Box 95,Trayning,WA,6488,08 9683 1001,-31.1146,117.79394,294
204,Useless Loop Public Library,Hackett Square,Useless Loop,WA,6537,Locked Bag 1000,Denham,WA,6537,08 9948 0261,-26.12935,113.41803,19
205,Victoria Park Public Library,27 Sussex Street,East Victoria Park,WA,6101,PO Box 1109,East Victoria Park,WA,6981,08 9373 5500,-31.98431,115.90002,22
206,Vincent Public Library,99 Loftus Street,Leederville,WA,6007,"City of Vincent Library, PO Box 82",Leederville,WA,6902,08 9273 6090,-31.93451,115.84569,26
207,VisAbility,61 Kitchener Avenue,Victoria Park,WA,6100,PO Box 101,Victoria Park,WA,6979,08 9311 8271,-31.97104,115.90076,23
208,Wagin Public Library,3 Trent Street,Wagin,WA,6315,Trent Street,Wagin,WA,6315,08 9861 1247,-33.31048,117.33915,266
209,Walpole Public Library,Lot 44 Latham Avenue,Walpole,WA,6398,Post Office,Walpole,WA,6398,08 9840 1108,-34.97725,116.73251,19
210,Wandering Public Library,18 Watts Street,Wandering,WA,6308,18 Watts Street,Wandering,WA,6308,08 9884 1561,-32.68131,116.67558,273
211,Wanneroo Public Library,3 Rocca Way,Wanneroo,WA,6065,Locked Bag 1,Wanneroo,WA,6946,08 9405 5940,-31.75065,115.80533,57
212,Warburton (Ngaanyatjarra),Ngaanyatjarra Community College,Warburton,WA,,PMB via ALICE SPRINGS,NT 0871,NT,872,08 8956 7531,-25.997885,126.6706759,532
213,Warnbro Community Library,Swallowtail Parade,Warnbro,WA,6168,Swallowtail Parade,Warnbro,WA,6168,08 9528 8577,-32.34543,115.7586,7
214,Waroona Public Library,Thatcher Street,Waroona,WA,6215,PO Box 20,Waroona,WA,6215,08 9733 7822,-32.84275,115.92336,50
215,Wellstead Public Library,49 Windsor Road,Wellstead,WA,6328,Lot 49 Windsor Road,Wellstead,WA,6328,08 9847 2078,-34.49393,118.60433,126
216,Westonia Public Library,41 Wolfram Street,Westonia,WA,6423,Wolfram Street,Westonia,WA,6423,08 9046 7077,-31.30227,118.69674,368
217,Whitford Public Library,Cnr Marmion and Banks Avenues,Hillarys,WA,6025,Cnr Marmion and Banks Avenues,Hillarys,WA,6025,08 9400 4870,-31.79721,115.75341,26
218,Wickepin Public Library,24 Wogolin Road,Wickepin,WA,6370,PO Box 131,Wickepin,WA,6370,08 9888 1500,-32.78177,117.49896,344
219,Wickham Public Library,Wickham Community Hub - Carse Street,Wickham,WA,6720,PO Box 219,Karratha,WA,6714,08 9187 1661,-20.67662888,117.1394324,11
220,Willagee Public Library,Cnr Archibald and Winnacott Street,Willagee,WA,6156,Locked Bag 1,Booragoon,WA,6954,08 9364 0170,-32.05262,115.80589,37
221,Willetton Public Library,39 Burrendah Boulevarde,Willetton,WA,6155,39 Burrendah Boulevarde,Willetton,WA,6155,08 9229 9540,-32.05573,115.87904,23
222,Williams Public Library,Brooking Street,Williams,WA,6391,PO Box 96,Williams,WA,6391,08 9885 1378,-33.02563,116.88096,271
223,Wiluna Public Library,Scotia Street,Wiluna,WA,6646,PO Box 38,Wiluna,WA,6646,08 9981 8000,-26.59531,120.22709,515
224,Withers Public Library,Hudson Road,Bunbury,WA,6230,PO Box 1981,Bunbury,WA,6231,08 9792 7244,-33.36416,115.62999,15
225,Wongan Hills Public Library,The Station 1 Wongan Rd,Wongan Hills,WA,6603,PO Box 255,Wongan Hills,WA,6603,08 9671 2550,-30.89349923,116.7166626,279
226,Woodanilling Public Library,3316 Robinson Road,Woodanilling,WA,6316,PO Box 99,Woodanilling,WA,6316,08 9823 1506,-33.56311,117.4363,297
227,Woodvale Public Library,5 Trappers Drive,Woodvale,WA,6026,5 Trappers Drive,Woodvale,WA,6026,08 9400 4180,-31.79798,115.79532,35
228,Wundowie Public Library,Boronia Avenue,Wundowie,WA,6560,Care PO,Wundowie,WA,6560,08 9573 6205,-31.75943,116.38409,275
229,Wyalkatchem Public Library,Railway Terrace,Wyalkatchem,WA,6485,Railway Terrace,Wyalkatchem,WA,6485,08 9681 1500,-31.18022,117.38004,327
230,Wyndham Public Library,990 Koolama Street,Wyndham,WA,6740,PO Box 614,Kununurra,WA,6743,08 9161 1002,-15.4858,128.12281,15
231,Yalgoo Public Library,37 Gibbons Street,Yalgoo,WA,6635,37 Gibbons Street,Yalgoo,WA,6635,08 9962 8042,-28.34184,116.6823,322
232,Yanchep Public Library,"Lower Floor, Phil Renkin Recreation Centre, Lisford Avenue",Two Rocks,WA,6037,Locked Bag 1,Wanneroo,WA,6946,08 9561 1110,-31.49621,115.58865,15
233,Yarloop Public Library,School Rd,Yarloop,WA,6233,School Rd,Yarloop,WA,6233,08 9733 5240,-32.96179328,115.9014952,39
234,York Public Library,Joaquina Street,York,WA,6302,PO Box 22,York,WA,6302,08 9641 2233,-31.89169,116.76761,183
235,Yuna Public Library,"Yuna Hall, Main Street",Yuna,WA,6532,Post Office,Yuna,WA,6532,08 9920 1096,-28.32752,115.00264,277
